Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4
01/01/2026,0:00:00,2.148,0.143,238.33,8.9,0,5.7,9.38,20.72
01/01/2026,0:01:00,1.228,0.219,238.6,5.16,0,0,21.24,0
01/01/2026,0:02:00,1.118,0.21,240.05,4.44,0,0,2.67,15.97
01/01/2026,0:03:00,1.118,0.139,235.19,4.8,0,0,0.12,18.51
01/01/2026,0:04:00,4.607,1.037,237.91,19.34,4.77,0,5.75,66.25
01/01/2026,0:05:00,2.649,0.579,239.83,10.96,0,0,7.44,36.7
01/01/2026,0:06:00,0.875,0.074,237.32,3.52,0,0,3.04,11.55
01/01/2026,0:07:00,2.228,0.514,243.59,9.2,0,0,1.22,35.91
01/01/2026,0:08:00,1.738,0.24,236.12,7.21,1.23,0,2.19,25.54
01/01/2026,0:09:00,0.096,0.019,242.7,0.2,5.32,0,6.4,0
01/01/2026,0:10:00,0.455,0.097,244.41,1.87,0.22,0,4.09,3.28
01/01/2026,0:11:00,1.848,0.279,241.15,7.42,0,0,8.16,22.64
01/01/2026,0:12:00,4.288,0.557,239.59,17.57,5.6,4.63,1.48,59.76
01/01/2026,0:13:00,1.127,0.263,240.74,4.71,0,0,11.07,7.72
01/01/2026,0:14:00,0.806,0.078,238.68,3.35,0,0,1.02,12.42
01/01/2026,0:15:00,1.549,0.157,233.89,6.45,0,0,2.4,23.41
01/01/2026,0:16:00,0.757,0.093,237.06,3.24,0,0,5.37,7.25
01/01/2026,0:17:00,1.055,0.234,239.97,4.48,0,0,8.01,9.57
01/01/2026,0:18:00,1.383,0.329,237.18,5.88,0,0.67,1.86,20.52
01/01/2026,0:19:00,0.428,0.04,238.76,1.83,2.09,0,17.75,0
01/01/2026,0:20:00,2.76,0.615,241.44,11.11,4.27,7.87,7.35,26.51
01/01/2026,0:21:00,0.339,0.034,240.44,1.67,0,0,1.47,4.18
01/01/2026,0:22:00,1.671,0.408,243.18,6.98,0,0,7.76,20.09
01/01/2026,0:23:00,2.592,0.439,240.88,10.57,2.63,2.99,7.15,30.43
01/01/2026,0:24:00,1.634,0.084,241.06,6.78,3.24,0,8.38,15.61
01/01/2026,0:25:00,1.255,0.071,237.86,5.31,0,0,14.85,6.07
01/01/2026,0:26:00,1.045,0.083,236.01,4.42,0,0.77,7.46,9.18
01/01/2026,0:27:00,0.884,0.077,238.76,4.06,0,0,2.6,12.13
01/01/2026,0:28:00,3.266,0.665,237.82,13.34,0,0,9.38,45.05
01/01/2026,0:29:00,1.863,0.176,239.5,7.49,0,0,7.14,23.92
01/01/2026,0:30:00,0.958,0.234,236.8,3.59,0,0,5.12,10.84
01/01/2026,0:31:00,0.693,0.123,242.53,2.87,0,0,2.62,8.93
01/01/2026,0:32:00,2.352,0.443,237.81,10,0,0.89,15.23,23.08
01/01/2026,0:33:00,3.207,0.3,238.91,13.49,1.76,0,4.31,47.37
01/01/2026,0:34:00,2.987,0.683,239.94,12.39,0,0,5.93,43.85
01/01/2026,0:35:00,0.57,0.105,243.37,2.42,0,0,3.22,6.27
01/01/2026,0:36:00,1.036,0.231,245.28,4.17,4.34,0,9.11,3.83
01/01/2026,0:37:00,0.866,0.209,245.48,3.68,0,0,2.5,11.93
01/01/2026,0:38:00,1.173,0.088,236.15,5.19,0,5.59,9.98,3.97
01/01/2026,0:39:00,2.739,0.19,238.88,11.28,0,0,0.69,44.97
